Date,0
2025-01-14,ESH5
2025-01-15,ESH5
2025-01-16,ESH5
2025-01-17,ESH5
2025-01-21,ESH5
2025-01-22,ESH5
2025-01-23,ESH5
2025-01-24,ESH5
2025-01-27,ESH5
2025-01-28,ESH5
2025-01-29,ESH5
2025-01-30,ESH5
2025-01-31,ESH5
2025-02-03,ESH5
2025-02-04,ESH5
2025-02-05,ESH5
2025-02-06,ESH5
2025-02-07,ESH5
2025-02-10,ESH5
2025-02-11,ESH5
2025-02-12,ESH5
2025-02-13,ESH5
2025-02-14,ESH5
2025-02-18,ESH5
2025-02-19,ESH5
2025-02-20,ESH5
2025-02-21,ESH5
2025-02-24,ESH5
2025-02-25,ESH5
2025-02-26,ESH5
2025-02-27,ESH5
2025-02-28,ESH5
2025-03-03,ESH5
2025-03-04,ESH5
2025-03-05,ESH5
2025-03-06,ESH5
2025-03-07,ESH5
2025-03-10,ESH5
2025-03-11,ESH5
2025-03-12,ESH5
2025-03-13,ESH5
2025-03-14,ESH5
2025-03-17,ESH5
2025-03-18,ESM5
2025-03-19,ESM5
2025-03-20,ESM5
2025-03-21,ESM5
2025-03-24,ESM5
2025-03-25,ESM5
2025-03-26,ESM5
2025-03-27,ESM5
2025-03-28,ESM5
2025-03-31,ESM5
2025-04-01,ESM5
2025-04-02,ESM5
2025-04-03,ESM5
2025-04-04,ESM5
2025-04-07,ESM5
2025-04-08,ESM5
2025-04-09,ESM5
2025-04-10,ESM5
2025-04-11,ESM5
2025-04-14,ESM5
2025-04-15,ESM5
2025-04-16,ESM5
2025-04-17,ESM5
2025-04-21,ESM5
2025-04-22,ESM5
2025-04-23,ESM5
2025-04-24,ESM5
2025-04-25,ESM5
2025-04-28,ESM5
2025-04-29,ESM5
2025-04-30,ESM5
2025-05-01,ESM5
2025-05-02,ESM5
2025-05-05,ESM5
2025-05-06,ESM5
2025-05-07,ESM5
2025-05-08,ESM5
2025-05-09,ESM5
2025-05-12,ESM5
2025-05-13,ESM5
2025-05-14,ESM5
2025-05-15,ESM5
2025-05-16,ESM5
2025-05-19,ESM5
2025-05-20,ESM5
2025-05-21,ESM5
2025-05-22,ESM5
2025-05-23,ESM5
2025-05-27,ESM5
2025-05-28,ESM5
2025-05-29,ESM5
2025-05-30,ESM5
2025-06-02,ESM5
2025-06-03,ESM5
2025-06-04,ESM5
2025-06-05,ESM5
2025-06-06,ESM5
2025-06-09,ESM5
2025-06-10,ESM5
2025-06-11,ESM5
2025-06-12,ESM5
2025-06-13,ESM5
2025-06-16,ESM5
2025-06-17,ESU5
2025-06-18,ESU5
2025-06-20,ESU5
2025-06-23,ESU5
2025-06-24,ESU5
2025-06-25,ESU5
2025-06-26,ESU5
2025-06-27,ESU5
2025-06-30,ESU5
2025-07-01,ESU5
2025-07-02,ESU5
2025-07-03,ESU5
2025-07-07,ESU5
2025-07-08,ESU5
2025-07-09,ESU5
2025-07-10,ESU5
2025-07-11,ESU5
2025-07-14,ESU5
2025-07-15,ESU5
2025-07-16,ESU5
2025-07-17,ESU5
2025-07-18,ESU5
2025-07-21,ESU5
2025-07-22,ESU5
2025-07-23,ESU5
2025-07-24,ESU5
2025-07-25,ESU5
2025-07-28,ESU5
2025-07-29,ESU5
2025-07-30,ESU5
2025-07-31,ESU5
2025-08-01,ESU5
2025-08-04,ESU5
2025-08-05,ESU5
2025-08-06,ESU5
2025-08-07,ESU5
2025-08-08,ESU5
2025-08-11,ESU5
2025-08-12,ESU5
2025-08-13,ESU5
2025-08-14,ESU5
2025-08-15,ESU5
2025-08-18,ESU5
2025-08-19,ESU5
2025-08-20,ESU5
2025-08-21,ESU5
2025-08-22,ESU5
2025-08-25,ESU5
2025-08-26,ESU5
2025-08-27,ESU5
2025-08-28,ESU5
2025-08-29,ESU5
2025-09-02,ESU5
2025-09-03,ESU5
2025-09-04,ESU5
2025-09-05,ESU5
2025-09-08,ESU5
2025-09-09,ESU5
2025-09-10,ESU5
2025-09-11,ESU5
2025-09-12,ESU5
2025-09-15,ESU5
2025-09-16,ESZ5
2025-09-17,ESZ5
2025-09-18,ESZ5
2025-09-19,ESZ5
2025-09-22,ESZ5
2025-09-23,ESZ5
2025-09-24,ESZ5
2025-09-25,ESZ5
2025-09-26,ESZ5
2025-09-29,ESZ5
2025-09-30,ESZ5
2025-10-01,ESZ5
2025-10-02,ESZ5
2025-10-03,ESZ5
2025-10-06,ESZ5
2025-10-07,ESZ5
2025-10-08,ESZ5
2025-10-09,ESZ5
2025-10-10,ESZ5
2025-10-13,ESZ5
2025-10-14,ESZ5
2025-10-15,ESZ5
2025-10-16,ESZ5
2025-10-17,ESZ5
2025-10-20,ESZ5
2025-10-21,ESZ5
2025-10-22,ESZ5
2025-10-23,ESZ5
2025-10-24,ESZ5
2025-10-27,ESZ5
2025-10-28,ESZ5
