Date,combined_nav
2025-01-02,155920389.8036878
2025-01-03,156531287.16332775
2025-01-06,157630206.45376518
2025-01-07,157362203.566007
2025-01-08,156460694.75032574
2025-01-10,158172893.43148887
2025-01-13,157827244.09895986
2025-01-14,156578213.2413073
2025-01-15,157807211.93800837
2025-01-16,156347213.58403715
2025-01-17,156703965.83316258
2025-01-21,155676224.7230232
2025-01-22,155760510.51309067
2025-01-23,155453029.7636113
2025-01-24,155723149.6128455
2025-01-27,156468557.75861797
2025-01-28,158263183.48514122
2025-01-29,158226675.06270194
2025-01-30,157675878.60597125
2025-01-31,158778565.20409086
2025-02-03,158287639.4589825
2025-02-04,159189844.39948177
2025-02-05,157190526.22539198
2025-02-06,157643075.47611955
2025-02-07,157238188.42723653
2025-02-10,156226862.57841116
2025-02-11,155545266.6549957
2025-02-12,156465362.7826794
2025-02-13,157116495.20591116
2025-02-14,157689361.59374133
2025-02-18,156618179.11838022
2025-02-19,156612988.1366256
2025-02-20,156078951.249808
2025-02-21,157043107.9016303
2025-02-24,156303788.17075506
2025-02-25,154486517.04014447
2025-02-26,153958808.10855538
2025-02-27,154097706.2188872
2025-02-28,154220082.69612786
2025-03-03,154127238.35431305
2025-03-04,154903533.9779865
2025-03-05,154773484.32623836
2025-03-06,154510495.50180572
2025-03-07,153476794.12548465
2025-03-10,151821707.90909535
2025-03-11,153446024.9371911
2025-03-12,155122166.57435167
2025-03-13,154845736.8564263
2025-03-14,154352671.82138968
2025-03-17,151377642.11011654
2025-03-18,151021743.49000818
2025-03-19,151238932.7063955
2025-03-20,151826406.52008614
2025-03-21,153586384.42763075
2025-03-24,155310166.03599542
2025-03-25,156539560.88086325
2025-03-26,155240655.29028478
2025-03-27,155673336.42350858
2025-03-28,155206861.81625882
2025-03-31,154279333.7360667
2025-04-01,153843966.96089974
2025-04-02,154074931.51136076
2025-04-03,155717778.0482412
2025-04-04,158285836.97169864
2025-04-07,159177649.66946673
2025-04-08,159382560.10988754
2025-04-09,159455134.83482116
2025-04-10,159535884.08738717
2025-04-11,159706200.4772905
2025-04-14,157902492.71807826
2025-04-15,157597635.36331055
