Date,port_pnl
2023-10-27,601799.9575546682
2023-10-30,1332075.300289631
2023-10-31,429548.4707053751
2023-11-01,2297823.0339206904
2023-11-02,2048328.5724854022
2023-11-03,1136553.2604300082
2023-11-06,814654.7171849161
2023-11-07,941534.0016071498
2023-11-08,378637.8036418855
2023-11-09,-1298167.857688278
2023-11-10,2297197.4535207003
2023-11-13,218159.56288722157
2023-11-14,2308154.5968937427
2023-11-15,136098.67845126987
2023-11-16,516505.24889080226
2023-11-17,7462.720514789224
2023-11-20,1238885.9341532886
2023-11-21,-62812.51195065677
2023-11-22,163230.8748062253
2023-11-24,-373404.56352469325
2023-11-27,-25070.407540142536
2023-11-28,803345.8603490442
2023-11-29,-591551.1686898768
2023-11-30,-490856.55936056376
2023-12-01,151307.9655647725
2023-12-04,-1388459.27650626
2023-12-05,1080867.8834195733
2023-12-06,-1071570.116742149
2023-12-07,1896923.194819644
2023-12-08,672585.8166565895
2023-12-11,-1145089.4216874242
2023-12-12,1006965.550626576
2023-12-13,825684.398121208
2023-12-14,317692.8035492748
2023-12-15,672644.6190988123
2023-12-18,1344708.3178447932
2023-12-19,843767.3298845589
2023-12-20,-1711562.9791998118
2023-12-21,1551530.5641364604
2023-12-22,-152212.20542778075
2023-12-26,519774.7594784051
2023-12-27,350946.719852224
2023-12-28,-142587.70837034285
2023-12-29,-623304.5987654775
2024-01-02,-1252367.2383724898
2024-01-03,-926044.3314666152
2024-01-04,-498693.4191406369
2024-01-05,492927.3723843992
2024-01-08,2562401.402161017
2024-01-09,228246.79994785786
2024-01-10,1468562.0834109336
2024-01-11,-306526.63996887207
2024-01-12,-166089.45158915222
2024-01-16,-204058.95020972192
2024-01-17,-627001.6017109007
2024-01-18,1376225.0857073963
2024-01-19,2023922.2933416367
2024-01-22,-165090.62760894
2024-01-23,260066.56772826612
2024-01-24,811262.5902539194
2024-01-25,-786434.8388841748
2024-01-26,-342566.55665135384
2024-01-29,1859881.9629860222
2024-01-30,-187482.85533088446
2024-01-31,-3207230.7314028144
2024-02-01,1514045.551552847
2024-02-02,4600752.100296751
2024-02-05,-511349.9624980688
2024-02-06,313409.53771808743
2024-02-07,1720054.514842689
2024-02-08,-376867.22379109263
2024-02-09,1770283.7262646258
2024-02-12,-875840.1608889401
2024-02-13,-1792865.679521203
2024-02-14,1592311.8576447666
2024-02-15,1107885.0979079306
2024-02-16,-1014728.8532622457
2024-02-20,-1336245.520589292
2024-02-21,129431.1438370645
2024-02-22,4817087.507324815
2024-02-23,-387682.2393884659
2024-02-26,-441257.57571932673
2024-02-27,237862.81395334005
2024-02-28,-241128.24051636457
2024-02-29,1073224.0217805803
2024-03-01,983097.1186491847
2024-03-04,-1709244.3521174192
2024-03-05,-1760960.9701069593
2024-03-06,73774.32512879372
2024-03-07,1821186.123442173
2024-03-08,-1026508.2511019707
2024-03-11,-462484.58015304804
2024-03-12,2683394.5722030103
2024-03-13,-858181.3410128057
2024-03-14,-501484.99290701747
2024-03-15,-1101438.062862128
2024-03-18,2302831.6730099916
2024-03-19,470615.5728186369
2024-03-20,1744757.6405839324
2024-03-21,-311682.7494817972
2024-03-22,184852.68744653463
2024-03-25,-487685.8714957237
2024-03-26,-263530.1680494547
2024-03-27,606489.7928055525
2024-03-28,-606071.753274858
2024-04-01,447196.16257083416
2024-04-02,-1010003.2600284219
2024-04-03,117919.58104920387
2024-04-04,-1343332.3262827098
2024-04-05,1505615.5257380307
2024-04-08,482796.376478672
2024-04-09,247319.21175208688
2024-04-10,-784256.7571163774
2024-04-11,2197293.2749213576
2024-04-12,-2550093.1472606063
2024-04-15,-2801424.614935547
2024-04-16,-934367.7626365423
2024-04-17,-1079885.0567770302
2024-04-18,-507700.7035231292
2024-04-19,-2652653.5796138346
2024-04-22,1193300.0103017986
2024-04-23,2182669.888032019
2024-04-24,1250774.0149414241
2024-04-25,-1192250.0734176338
2024-04-26,2816819.956505388
2024-04-29,1604007.5323554575
2024-04-30,-3129004.0108107626
2024-05-01,617162.2223106325
2024-05-02,1558170.9922437668
2024-05-03,2183004.5868991315
2024-05-06,1947803.861111313
2024-05-07,-343056.7571800649
2024-05-08,69638.19010967016
2024-05-09,265342.44022482634
2024-05-10,-157411.4231197834
2024-05-13,384210.7816596031
2024-05-14,1244854.5479068756
2024-05-15,1469735.3654281795
2024-05-16,-216563.10652792454
2024-05-17,331185.3095212281
2024-05-20,-654727.7694557607
2024-05-21,1407921.5031105876
2024-05-22,-571164.5541537702
2024-05-23,-602405.3513841629
2024-05-24,1763768.5317289233
2024-05-28,600899.9333541095
2024-05-29,-394499.2310780883
2024-05-30,-1258540.7491850853
2024-05-31,157922.55060777068
2024-06-03,1176530.533718735
2024-06-04,223647.26677939296
2024-06-05,1894572.8278034031
2024-06-06,545107.4911591709
2024-06-07,232211.1166652739
2024-06-10,23411.78972107172
2024-06-11,755533.7280615866
2024-06-12,1414855.0437963903
2024-06-13,715391.2421327829
2024-06-14,-65184.99387708306
2024-06-17,1579690.6932049096
2024-06-18,-157292.2497305572
2024-06-20,-192414.00407239795
2024-06-21,-249838.03944775462
2024-06-24,-1018580.5261003971
2024-06-25,2111570.630251527
2024-06-26,1785442.7727281451
2024-06-27,175803.6789651513
2024-06-28,-1603496.7609949112
2024-07-01,2651037.8595122397
2024-07-02,2940601.2050507963
2024-07-03,1869785.4583470523
2024-07-05,2228356.8868163526
2024-07-08,-389978.66142475605
2024-07-09,1225290.6501538157
2024-07-10,1622533.8380901515
2024-07-11,-4925696.750851899
