Date,EqualWeight,^GSPC
2023-09-08,0.00035,0.00143
2023-09-11,0.01987,0.00672
2023-09-12,-0.00892,-0.0057
2023-09-13,0.00812,0.00124
2023-09-14,0.00597,0.00843
2023-09-15,-0.01624,-0.01216
2023-09-18,0.00154,0.00072
2023-09-19,-0.00177,-0.00215
2023-09-20,-0.01608,-0.00939
2023-09-21,-0.0187,-0.0164
2023-09-22,-0.00458,-0.0023
2023-09-25,0.00576,0.00402
2023-09-26,-0.01593,-0.01473
2023-09-27,-0.00039,0.00023
2023-09-28,0.00981,0.00589
2023-09-29,-0.00111,-0.00271
2023-10-02,0.01277,8e-05
2023-10-03,-0.01678,-0.01374
2023-10-04,0.01676,0.00811
2023-10-05,0.00313,-0.0013
2023-10-06,0.016,0.01181
2023-10-09,0.00209,0.0063
2023-10-10,0.00511,0.00521
2023-10-11,0.00803,0.00429
2023-10-12,-0.00267,-0.00625
2023-10-13,-0.01201,-0.00502
2023-10-16,0.01072,0.01059
2023-10-17,-0.00551,-0.0001
2023-10-18,-0.02083,-0.0134
2023-10-19,-0.01286,-0.00848
